reviewId,content,score,thumbsUpCount
9fa385b7-4557-4f24-9bd4-c0ba76cf204e,"TERRIBLE! I've spent 30 minute to do a simple payment to my friend, and in the end it just displays ""unknown system error""! Yeah, if you developers don't know the error, how about us? Please fix that problem. The application was so sluggish. To be honest, I run this app on an android flagship phone. The super ultra slow UI is just unacceptable.",1,901
fe58b850-3ac3-430c-b279-4a77aace8bf5,"It used to be a great app, but recently I can't use ""send"" feature and it always stucks before the last process. Had already contacted the CS by WA, but it wasn't helpful at all. Waiting for hours and the only answer they gave was to update the apps and wait. Well, I did and nothing happened. I don't know, are you in the ""surrender"" stage? since your service quality is already going down the sink.",1,1149
d9dff1d0-f6ac-4604-b1fb-8901543e7982,"The most terrible experience I've ever got since using E WALLET. 1. Not responsive, bugs, force close while there are no issue with connection or specs. 2. SCAM! Someone just login to my account and did suspicious transaction many times! There is no pop up notification or email about the transaction! I'm suppose to know all activities on my account, even when someone log in there is no notification at all! 3. I'm completely distrust with application and it's security!",1,497
1f9f977b-695b-4e1d-8fb3-33e9fdec34fe,Bad system. The promotion of cashback doesnt go well as u expected in reality. Didnt get the cashback at all in the last 2 months. I also didnt get the chance to open the envelope eventhough I've made several transactions (more than 20k off course). Contact the CS doesnt help at all. Just wasting my time and mobile credits. Not recommended for digital wallet apps.,1,584
21177be8-5e8a-4af7-b1a4-109227d431a3,"on 0.4.2 version (android), the app always crash everytime I open. so far, this is the worst e-wallet app I ever use 😌 and, I am so tired if I have to send ticket that will produce ""default"" result, such as ""please, reinstall the app"". I did it. but, the crash has never gone. why don't DANA create such a better customer service? you can call your customer first and ask them the detail about the problem. for customers, they have many options for e-wallet. and, DANA is not one of the option",1,107
95f71b6b-313e-43ff-b4a5-b8644ed1562c,"Been using the app for a while & it went just fine, until last week when I stopped receiving cashback for all my transactions. I raised the issue to CS thru email & call center, they said that I've violated the T&C by logging in other device, tho I never did that. I asked them the details of this, but they couldn't. And the only solution they offered is for me to make more transactions thru DANA so the system will automatically detect that my acc is eligible for the promo. I mean...?!",1,67
04d5a33c-1d85-4116-9ede-3c4e98d4ccd9,"Very glitchy, very buggy, one moment I try to open my business and next second I'm directed back to the home screen. Closes for no reason all the time. Can't ever set my favorite features. Difficult payment even via links and codes. Randomly switches to the home screen. If this wasn't the 'standard' payment service I would have ditched this since years, good grief!",1,533
34007c74-3479-451c-b50c-7d8333ed6ce4,"Passkey (face scan) doesnt work.. Top-up by card doesnt work (OTP never arrives).. Steam payment doesnt work, it's loading forever. So what is this app useful for if everything inside is broken? It's been years like this, it's never easy to do anything with dana, always bunch of issues, and they claim this is the number one finance app in this country? Shamefully incompetent!",1,246
29168080-f21a-4844-831d-c20ad2974dfb,"Why I can't open the app right now? I just do top up and need to do some transactions but I CAN NOT open the app. When I click the app and passed the verification, it goes loading by blank blue screen with Dana logo in the middle of it. I thought it was connection problem, but it isn't, my connection is fine. How long this error take? I'm so concern becauce it's a big mount of money. Please help.",1,49
92d7a465-2b0d-472f-be9b-0798eccbe2a2,"Terrible app. The app is very buggy and I had a very bad experience in using it. I tried topping up DANA balance using mobile banking but the balance is not updated even though it showing successful top up from my bank account (amount already deducted). Customer service is also non existent, phone line is not working and the only way you can reah out to them is either via email or chatbot (both have very slow response). Avoid at all cost.",1,212
490da3e4-27f9-428e-a15c-b70f3f6df6f9,"The app keep restarting. I need to remit my money to my Bank account and I've upgraded to pro account once and it succeeded, but now the system keep requesting me to upload right eKTP data (which is right and every data is clear on it) to re-activate my PRO (or so called Premium) account. So stressful that I can't use the money in this ewallet almost to anything nowaday!! No wonder it lost its battle against other wallet payment system.",1,29
c98949cb-91d8-466b-b448-ddcfe112f185,"Can't support older app version Service is great with occasional slow transaction speed, but I really don't like how the app won't open on older versions. It's understandable if I didn't update it for three or four versions but it's only one version off and it won't open. I can't just delete important apps just to update this app.",3,39
237f7eba-e686-4c57-807d-0c313d2faec7,"UPDATE: SALAH PIN ""LOCKDOWN"" 1 JAM! BIKIN KEBIJAKAN ANEH2 AJA. Well, too late I needed to pay something in a very limited time, which I failed to comply because of your policy of 1 hour lockdown just for wrong PIN inputs, and your solution is contacting CS, which is more time consuming. A so called super secured app, but I don't think the app is reliable on a time critical situation. You're more like a digital safe than a wallet. You are defeating your own purpose.",1,17
13708768-149a-418e-ac2e-d4e6333c18d4,"i used to play o*o as my digital bank. knowing my own country released digital banking i've tried to use it. but i hope someday they change the interface, bcs the flow and i think there is missing icon. i won't comparing it with o*o. anyway, i made a wrong move by clicking top up pulsa's button. and my history has adding as waiting progress.. and this is made me worrying.. how to ended up this event (waiting progress)",3,13
6e78ae86-11d9-4ffe-a81d-c48ef77a90b4,"The function is great. But, for you to be a premium member, they got the dumbest face verification of all e-wallet app. They use the dumb blink shutter. I got old smartphone with me that doesn't have any autofocus feature for front camera, so the image always comes out as blur as my future. There's no alternative solution like changing to main camera, or upload an existing image.",1,66
f34eb333-1a98-42f3-8fd5-cf924e90f155,"Everything was running smoothly: discount, voucher, and promotions. Lately I encountered problems such as: cash back not received, none of the vouchers in the pockets can be applied to my transactions (tix id, pulsa, etc.) Please fix this issue so things can run smoothly as they were before.",1,15
b771c322-eb14-4282-ab2a-6171cd64d3bb,"This review is for version 2.18 until 2.20 26 Agt 2022, the app keep crashing every time entering dashboard. Already clear cache and reinstall the app, but same problem occur. I send much money in purpose to transfer it to another bank, but now my money stuck there. UPDATE: I do turn off my internet to open the app, then turn on the internet back when the app already opened. it works, but everytime i back to dashboard, it crashes again.",2,15
7d340f26-e6a6-44ef-844b-c7fb6921ff2a,"It was easy to register to DANA Premium, but to unregister is very complicated. You have to submit a lot more personal information & documents before you can unregister from premium account. I just need to switch the premium account to my other number but the requirement is very complicated. Well, not using DANA and switching to other apps seems to be easier.",1,27
885291fa-ae64-4786-a0b5-c019cd34b17a,"Such a long convoluted way of transferring money and it's even locked behind a premium wall. I'll say it again, A TRANSFER IS LOCKED BEHIND A PREMIUM PAYWALL!! To further elaborate, to transfer money without premium to a friend i have on my contact, i need to: whip up my credit card, put the numbers in, expiry date, cvv, and everything. And even then i haven't been able to transfer successfully. I just got hit by it's in progress. I've made 3 attempts to transfer and no progress.",1,243
6f439645-ccd2-4784-adf3-64f6d2850c16,"So heavy, slow, and bugy. Whenever I open the app I need to wait for some minutes even though the app is loaded. If I do something the app crashes. Opening functions (send, qr payment) takes forever. I thought this update addressed this issue, but it didn't. Please fix this asap.",1,2
dc21c1e0-755c-4865-8fd6-fb29b409bb44,"The most annoying app I've ever had. Very difficult for many people. Every time and every day must upgrade premium, its very hard to pay, to pay data n credit packages, to buy electricity credit. Its all because my id card was wrong, but what should I do. Its coz the country was fault not me. Even though my other e-money never had a problem.",1,7
